id,hard_skills,soft_skills,competences_recommandees
134,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
135,suivi commercial  vente,esprit entrepreneurial volonté aisance relationnelle écoute esprit entrepreneurial autonomie organisation communication,aisance relationnelle et de vraies capacités managériales écoute des clients autonomie réactivité organisation communication clair est précise sens de service avantages et perspectives liés à cette fonction  rma vous accompagne et met à votre disposition les moyens et outils nécessaires au développement des performances de votre agence
136,hôtellerie  restauration  tourismefrançais,Non spécifié,maîtrise du français est obligatoire présentable motivée dynamique
137,tourisme,Non spécifié,Non spécifié
138,animation  cuisine  tourismefrançais anglais,Non spécifié,maîtrise du français  anglais
139,santé  tourisme,Non spécifié,Non spécifié
140,tourisme,Non spécifié,Non spécifié
141,cuisine  restauration  secteur hôtelier  tourisme,communication organisation,compétences  bonne présentation avec un vrai sens de communication connaissance des techniques de mise en place capacités dorganisation et de gestion connaissance dune ou plusieurs langues étrangères
142,android  css  design  docker  foundation  git  ideal  linux  postgresql  python  tourismetailwind css docker linux python postgresql github,collaboration communication,experience with flutter development for mobile platforms proficiency in tailwind css for creating responsive and elegant user interfaces docker python proficiency in postgresql for database management communication skills with the ability to explain technical concepts clearly problemsolving skills and ability to work independently as well as in a team
143,tourisme,communication autonomie synthèse,compétences en communication tant à lécrit quà loral capacité à travailler en équipe et à gérer des projets en autonomie analyse et de synthèse avec une approche orientée client connaissances des processus métiers et des bonnes pratiques en matière de gestion dentreprise
144,achats  ventearabe français anglais sap,capacité danalyse initiative proactivité résolution de problèmes flexibilité organisation relationnel,analyse esprit dinitiative proactivité aptitude à la résolution de problèmes réactivité et flexibilité sens du client  prend en compte les demandes et les attentes des clients internes et externes maîtrise des outils  pack office et erp sap sens de lorganisation bon relationnel être force de proposition damélioration pour faire progresser léquipe le service et lentreprise
145,accueil  cuisine  hôtellerie  tourisme,Non spécifié,Non spécifié
146,finance  gestionsage anglais,gestion du temps communication rigueur,communication maîtrise des outils bureautiques discrétion et confidentialité capacité dadaptation rigueur
147,gestion des ventes,Non spécifié,Non spécifié
148,anatomie  éducation  hygiène  pharmacologie  physiologie  santé  soins infirmiersanatomie soins infirmiers pharmacologie,relationnel communication empathie rigueur organisation adaptabilité prise de décision,compétences clés   savoirs et savoirfaire techniques  anatomie et physiologie humaine pathologies courantes techniques de soins infirmiers pharmacologie hygiène et sécurité surveillance des patients éducation thérapeutique compétences transversales et comportementales  relationnel et communication écoute et empathie rigueur et organisation capacité à travailler en équipe et sous pression adaptabilité et réactivité sangfroid et prise de décision
149,formation  gestion administrativequalité word powerpoint,esprit déquipe qualités relationnelles,maîtrise des outils bureautiques ms office  word excel powerpoint
150,agile  aris  confluence  jira  ms project  scrum  uml  visiokanban ms project français anglais,relationnel écoute synthèse communication leadership,compétences techniques et fonctionnelles solide expérience minimum 8 ans en tant que business analyst ou product owner idéalement dans un contexte de transformation digitale connaissance des méthodologies agile scrum kanban et traditionnelles cycle en v maîtrise des outils de modélisation tels que bpmn uml ou des logiciels comme aris visio ou similaires jira confluence compétences relationnelles excellente capacité découte de synthèse et de communication leadership maîtrise de langlais est un plus
